source_id,lesson_qmd,resource_title,best_text_source,extraction_method,integrated_into_existing_section,ocr_used,structure_confidence,review_needed,notes
cbt-skills-p003,site/learn/cbt-anxiety/introduction-to-cbt.qmd,"Fear, Anxiety, Stress, and Panic",section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p004,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Understanding My Anxiety,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p005,site/learn/cbt-anxiety/introduction-to-cbt.qmd,The Cost of Anxiety,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p006,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Symptoms of Anxiety,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p007,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Alarming Adrenaline,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p008,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Fight or Flight,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p009,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Five Factor Model,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p010,site/learn/cbt-anxiety/introduction-to-cbt.qmd,Five Factor Model Worksheet,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p012,site/learn/cbt-anxiety/thinking-traps.qmd,Thinking Traps Overview,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p013,site/learn/cbt-anxiety/thinking-traps.qmd,Testing Your Thoughts: Side One,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p014,site/learn/cbt-anxiety/thinking-traps.qmd,What Are Core Beliefs?,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p015,site/learn/cbt-anxiety/thinking-traps.qmd,Testing Your Thoughts: Side Two,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p016,site/learn/cbt-anxiety/thinking-traps.qmd,Find the Thinking Traps,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p017,site/learn/cbt-anxiety/thinking-traps.qmd,"Identifying Thinking Traps, Part 1",php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p018,site/learn/cbt-anxiety/thinking-traps.qmd,"Identifying Thinking Traps, Part 2",php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p020,site/learn/cbt-anxiety/thought-records.qmd,The Farmer and His Horse,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p021,site/learn/cbt-anxiety/thought-records.qmd,How to Get Out of a Thinking Trap,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
