resource_id,lesson_route,source_file,source_page,section,title,classification,has_input,input_types,source_text_status,paraphrase_status,confidence,review_needed,notes
cbt-skills-p003,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,3,CBT Skills,"Fear, Anxiety, Stress, and Panic",informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p004,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,4,CBT Skills,Understanding My Anxiety,interactive,true,reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p005,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,5,CBT Skills,The Cost of Anxiety,mixed,true,textarea|reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p006,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,6,CBT Skills,Symptoms of Anxiety,informational,false,,source-extraction-insufficient,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p007,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,7,CBT Skills,Alarming Adrenaline,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p008,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,8,CBT Skills,Fight or Flight,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p009,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,9,CBT Skills,Five Factor Model,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p010,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,10,CBT Skills,Five Factor Model Worksheet,interactive,true,table,source-extraction-review-needed,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p012,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,12,CBT Skills,Thinking Traps Overview,informational,false,,lesson-native-context,draft,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p013,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,13,CBT Skills,Testing Your Thoughts: Side One,interactive,true,table,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p014,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,14,CBT Skills,What Are Core Beliefs?,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p015,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,15,CBT Skills,Testing Your Thoughts: Side Two,interactive,true,reflection|textarea,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
