source_id,source_document,source_page,resource_title,resource_kind,curriculum_area,lesson_route,php_match_status,php_confidence,php_pdf_page,php_internal_id,top_candidate_page,second_best_page,match_score,second_best_score,uniqueness_margin,matched_orientation,match_evidence,high_res_asset,high_res_preview,match_id,match_source,publicly_displayed,review_state,notes
general-p002,0 general handouts and skills to turn to app.pdf,2,Skills & Strengths List,reference,General Skills,/tool-finder/index.html,high,high,143,php-p0143,143,20,0.959470,0.313770,0.645700,0,Orientation-aware visual score 0.9595; second-best physical page 20 scored 0.3138; uniqueness margin 0.6457. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0143.pdf,/resources/high-res/php/php-p0143.jpg,php-high-res:general-p002:php-p0143,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
general-p003,0 general handouts and skills to turn to app.pdf,3,Skills Overview,reference,General Skills,/tool-finder/index.html,none,none,,,72,103,0.180347,0.165986,0.014361,90,Orientation-aware visual score 0.1803; second-best physical page 103 scored 0.1660; uniqueness margin 0.0144. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
general-p004,0 general handouts and skills to turn to app.pdf,4,Emotional Overload & Emotional Numbness Skills Guide,reference,General Skills,/tool-finder/index.html,none,none,,,1,23,0.522842,0.482272,0.040570,270,Orientation-aware visual score 0.5228; second-best physical page 23 scored 0.4823; uniqueness margin 0.0406. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
general-p005,0 general handouts and skills to turn to app.pdf,5,Skills Use Guideline,reference,General Skills,/tool-finder/index.html,high,high,146,php-p0146,146,54,0.915675,0.463082,0.452592,0,Orientation-aware visual score 0.9157; second-best physical page 54 scored 0.4631; uniqueness margin 0.4526. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0146.pdf,/resources/high-res/php/php-p0146.jpg,php-high-res:general-p005:php-p0146,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
general-p006,0 general handouts and skills to turn to app.pdf,6,Dialectics: Acceptance and Change,handout,General Skills,/tool-finder/index.html,none,none,,,107,142,0.457543,0.402466,0.055076,0,Orientation-aware visual score 0.4575; second-best physical page 142 scored 0.4025; uniqueness margin 0.0551. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p002,1 goal setting and tracking.pdf,2,Case Map,worksheet,Goal Setting & Tracking,/learn/goal-setting/goal-setting-guidelines.html,none,none,,,142,145,0.311553,0.301477,0.010076,180,Orientation-aware visual score 0.3116; second-best physical page 145 scored 0.3015; uniqueness margin 0.0101. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p003,1 goal setting and tracking.pdf,3,Goal Setting Guidelines,handout,Goal Setting & Tracking,/learn/goal-setting/goal-setting-guidelines.html,high,high,145,php-p0145,145,15,0.565328,0.451241,0.114087,0,Orientation-aware visual score 0.5653; second-best physical page 15 scored 0.4512; uniqueness margin 0.1141. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0145.pdf,/resources/high-res/php/php-p0145.jpg,php-high-res:goal-setting-p003:php-p0145,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
goal-setting-p004,1 goal setting and tracking.pdf,4,SMART Goal Setting,handout,Goal Setting & Tracking,/learn/goal-setting/goal-setting-guidelines.html,none,none,,,104,72,0.389740,0.353539,0.036201,90,Orientation-aware visual score 0.3897; second-best physical page 72 scored 0.3535; uniqueness margin 0.0362. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p005,1 goal setting and tracking.pdf,5,Daily Goal Worksheet: Monday to Wednesday,worksheet,Goal Setting & Tracking,/learn/goal-setting/weekly-goals-home-practice.html,high,high,139,php-p0139,139,134,0.722433,0.720221,0.002212,0,Orientation-aware visual score 0.7224; second-best physical page 134 scored 0.7202; uniqueness margin 0.0022. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0139.pdf,/resources/high-res/php/php-p0139.jpg,php-high-res:goal-setting-p005:php-p0139,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
goal-setting-p006,1 goal setting and tracking.pdf,6,Daily Goal Worksheet: Thursday to Sunday,worksheet,Goal Setting & Tracking,/learn/goal-setting/weekly-goals-home-practice.html,high,high,137,php-p0137,137,132,0.935469,0.870369,0.065099,0,Orientation-aware visual score 0.9355; second-best physical page 132 scored 0.8704; uniqueness margin 0.0651. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0137.pdf,/resources/high-res/php/php-p0137.jpg,php-high-res:goal-setting-p006:php-p0137,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
goal-setting-p007,1 goal setting and tracking.pdf,7,Weekly Home Practice Tracker,worksheet,Goal Setting & Tracking,/learn/goal-setting/daily-tracking.html,high,high,138,php-p0138,138,136,0.266422,0.249521,0.016900,0,Orientation-aware visual score 0.2664; second-best physical page 136 scored 0.2495; uniqueness margin 0.0169. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0138.pdf,/resources/high-res/php/php-p0138.jpg,php-high-res:goal-setting-p007:php-p0138,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
goal-setting-p008,1 goal setting and tracking.pdf,8,Weekly Food Diary,worksheet,Goal Setting & Tracking,/learn/goal-setting/daily-tracking.html,none,none,,,73,147,0.198328,0.190666,0.007662,0,Orientation-aware visual score 0.1983; second-best physical page 147 scored 0.1907; uniqueness margin 0.0077. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p010,1 goal setting and tracking.pdf,10,Monthly Habit Tracker,worksheet,Goal Setting & Tracking,/learn/goal-setting/daily-tracking.html,none,none,,,142,146,0.422642,0.418930,0.003712,0,Orientation-aware visual score 0.4226; second-best physical page 146 scored 0.4189; uniqueness margin 0.0037. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p033,1 goal setting and tracking.pdf,33,Daily Mood Tracker,worksheet,Goal Setting & Tracking,/learn/goal-setting/daily-tracking.html,none,none,,,45,143,0.242427,0.230335,0.012092,0,Orientation-aware visual score 0.2424; second-best physical page 143 scored 0.2303; uniqueness margin 0.0121. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
goal-setting-p034,1 goal setting and tracking.pdf,34,Skills and Wellness Diary Card,worksheet,Goal Setting & Tracking,/learn/goal-setting/daily-tracking.html,none,none,,,132,143,0.259123,0.255436,0.003687,180,Orientation-aware visual score 0.2591; second-best physical page 143 scored 0.2554; uniqueness margin 0.0037. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p003,2 Distress Tolerance.pdf,3,How Can I Make a Distress Crisis Worse?,exercise,Distress Tolerance,/learn/distress-tolerance/stop-crisis-survival.html,none,none,,,129,130,0.626166,0.614353,0.011813,180,Orientation-aware visual score 0.6262; second-best physical page 130 scored 0.6144; uniqueness margin 0.0118. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p009,2 Distress Tolerance.pdf,9,Using the STOP Skill,worksheet,Distress Tolerance,/learn/distress-tolerance/stop-crisis-survival.html,none,none,,,59,1,0.282625,0.226567,0.056059,90,Orientation-aware visual score 0.2826; second-best physical page 1 scored 0.2266; uniqueness margin 0.0561. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p011,2 Distress Tolerance.pdf,11,Window of Tolerance,reference,Distress Tolerance,/learn/distress-tolerance/tipp.html,high,high,126,php-p0126,126,127,0.983881,0.799105,0.184776,0,Orientation-aware visual score 0.9839; second-best physical page 127 scored 0.7991; uniqueness margin 0.1848. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0126.pdf,/resources/high-res/php/php-p0126.jpg,php-high-res:distress-tolerance-p011:php-p0126,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
distress-tolerance-p015,2 Distress Tolerance.pdf,15,Progressive Muscle Relaxation: Nose to Toes,exercise,Distress Tolerance,/learn/distress-tolerance/tipp.html,none,none,,,87,146,0.285452,0.259000,0.026452,0,Orientation-aware visual score 0.2855; second-best physical page 146 scored 0.2590; uniqueness margin 0.0265. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p019,2 Distress Tolerance.pdf,19,Wise Mind ACCEPTS Overview,reference,Distress Tolerance,/learn/distress-tolerance/self-soothe.html,none,none,,,145,107,0.403373,0.304561,0.098812,270,Orientation-aware visual score 0.4034; second-best physical page 107 scored 0.3046; uniqueness margin 0.0988. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p021,2 Distress Tolerance.pdf,21,Self-Soothing Practice,exercise,Distress Tolerance,/learn/distress-tolerance/self-soothe.html,high,high,125,php-p0125,125,1,0.364029,0.270848,0.093181,0,Orientation-aware visual score 0.3640; second-best physical page 1 scored 0.2708; uniqueness margin 0.0932. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0125.pdf,/resources/high-res/php/php-p0125.jpg,php-high-res:distress-tolerance-p021:php-p0125,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
distress-tolerance-p023,2 Distress Tolerance.pdf,23,Creating a Self-Soothing Kit,exercise,Distress Tolerance,/learn/distress-tolerance/self-soothe.html,none,none,,,17,146,0.204459,0.201629,0.002830,270,Orientation-aware visual score 0.2045; second-best physical page 146 scored 0.2016; uniqueness margin 0.0028. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p026,2 Distress Tolerance.pdf,26,One Thing in the Moment,exercise,Distress Tolerance,/learn/distress-tolerance/improve.html,none,none,,,34,81,0.252765,0.240689,0.012076,0,Orientation-aware visual score 0.2528; second-best physical page 81 scored 0.2407; uniqueness margin 0.0121. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p027,2 Distress Tolerance.pdf,27,Peaceful Place Meditation,exercise,Distress Tolerance,/learn/distress-tolerance/improve.html,none,none,,,142,57,0.373067,0.353638,0.019428,90,Orientation-aware visual score 0.3731; second-best physical page 57 scored 0.3536; uniqueness margin 0.0194. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p028,2 Distress Tolerance.pdf,28,IMPROVE Practice,worksheet,Distress Tolerance,/learn/distress-tolerance/improve.html,none,none,,,105,146,0.262847,0.252172,0.010675,0,Orientation-aware visual score 0.2628; second-best physical page 146 scored 0.2522; uniqueness margin 0.0107. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p031,2 Distress Tolerance.pdf,31,Pros and Cons: How To,reference,Distress Tolerance,/learn/distress-tolerance/pros-and-cons.html,high,high,121,php-p0121,121,147,0.504499,0.358774,0.145725,0,Orientation-aware visual score 0.5045; second-best physical page 147 scored 0.3588; uniqueness margin 0.1457. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0121.pdf,/resources/high-res/php/php-p0121.jpg,php-high-res:distress-tolerance-p031:php-p0121,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
distress-tolerance-p033,2 Distress Tolerance.pdf,33,Pros and Cons Practice,exercise,Distress Tolerance,/learn/distress-tolerance/pros-and-cons.html,none,none,,,14,142,0.270838,0.268552,0.002286,0,Orientation-aware visual score 0.2708; second-best physical page 142 scored 0.2686; uniqueness margin 0.0023. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p035,2 Distress Tolerance.pdf,35,Dandelions,reference,Distress Tolerance,/learn/distress-tolerance/radical-acceptance.html,none,none,,,3,143,0.150573,0.144298,0.006274,270,Orientation-aware visual score 0.1506; second-best physical page 143 scored 0.1443; uniqueness margin 0.0063. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p036,2 Distress Tolerance.pdf,36,Developing the Skill of Radical Acceptance,exercise,Distress Tolerance,/learn/distress-tolerance/radical-acceptance.html,none,none,,,90,1,0.317018,0.285453,0.031565,90,Orientation-aware visual score 0.3170; second-best physical page 1 scored 0.2855; uniqueness margin 0.0316. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
