resource_id,section,title,classification,source_page,status,interactive,field_count,prompt_count,similarity_flag,completeness_flag,source_uncertain,specialized_tool,notes
cbt-skills-p003,CBT Skills,"Fear, Anxiety, Stress, and Panic",informational,3,review-needed,false,0,2,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p004,CBT Skills,Understanding My Anxiety,interactive,4,review-needed,true,1,1,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p005,CBT Skills,The Cost of Anxiety,mixed,5,review-needed,true,11,11,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p006,CBT Skills,Symptoms of Anxiety,informational,6,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p007,CBT Skills,Alarming Adrenaline,informational,7,review-needed,false,0,1,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p008,CBT Skills,Fight or Flight,informational,8,review-needed,false,0,2,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p009,CBT Skills,Five Factor Model,informational,9,review-needed,false,0,5,false,true,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p010,CBT Skills,Five Factor Model Worksheet,interactive,10,review-needed,true,1,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p012,CBT Skills,Thinking Traps Overview,informational,12,draft,false,0,0,false,false,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p013,CBT Skills,Testing Your Thoughts: Side One,interactive,13,review-needed,true,1,0,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p014,CBT Skills,What Are Core Beliefs?,informational,14,review-needed,false,0,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p015,CBT Skills,Testing Your Thoughts: Side Two,interactive,15,review-needed,true,8,8,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p016,CBT Skills,Find the Thinking Traps,mixed,16,review-needed,true,2,2,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p017,CBT Skills,"Identifying Thinking Traps, Part 1",interactive,17,review-needed,true,2,2,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p018,CBT Skills,"Identifying Thinking Traps, Part 2",interactive,18,review-needed,true,2,2,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p020,CBT Skills,The Farmer and His Horse,informational,20,review-needed,false,0,3,true,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p021,CBT Skills,How to Get Out of a Thinking Trap,informational,21,review-needed,false,0,9,true,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p022,CBT Skills,Challenge Negative Thinking,informational,22,review-needed,false,0,11,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p023,CBT Skills,Challenging Negative Thinking Practice,interactive,23,review-needed,true,5,5,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p024,CBT Skills,Thought Record Part 1,informational,24,review-needed,false,0,3,true,true,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p025,CBT Skills,Identifying Automatic Thoughts,interactive,25,review-needed,true,10,10,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p027,CBT Skills,Thought Record Part 2: Challenging the Hot Thought,informational,27,review-needed,false,0,7,true,true,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p028,CBT Skills,Looking for Evidence,informational,28,review-needed,false,0,10,true,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p029,CBT Skills,Creating Balanced Alternatives,informational,29,review-needed,false,0,5,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p030,CBT Skills,Best Friend Technique and Re-Rating,informational,30,review-needed,false,0,2,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p031,CBT Skills,Thoughts About Thought Records,informational,31,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p032,CBT Skills,Completed Thought Record Example 1,informational,32,review-needed,false,0,5,true,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p033,CBT Skills,Completed Thought Record Example 2,informational,33,review-needed,false,0,4,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p034,CBT Skills,Blank Thought Record,mixed,34,review-needed,true,7,7,true,false,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p036,CBT Skills,"Understanding Worry, Part 1",informational,36,review-needed,false,0,2,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p037,CBT Skills,"Understanding Worry, Part 2",informational,37,review-needed,false,0,6,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p038,CBT Skills,Worry Beliefs,informational,38,review-needed,false,0,10,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p039,CBT Skills,Worry and Problem Solving,informational,39,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p040,CBT Skills,Postpone Your Worry,informational,40,review-needed,false,0,1,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p041,CBT Skills,Using the Worry Tree,informational,41,review-needed,false,0,6,true,true,false,worry-tree,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p042,CBT Skills,The Worry Tree,informational,42,review-needed,false,0,6,true,true,false,worry-tree,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p044,CBT Skills,Worry Diary,interactive,44,review-needed,true,1,0,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p045,CBT Skills,Fear Ladder Starter,interactive,45,review-needed,true,1,0,false,false,true,exposure,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
