id,source_document,source_page,page_type,section,lesson,resource_title,resource_kind,publish,notes
general-p001,0 general handouts and skills to turn to app.pdf,1,section-cover,General Skills,,General Handouts,structural,false,Cover metadata only.
general-p002,0 general handouts and skills to turn to app.pdf,2,reference,General Skills,skill-finder,Skills & Strengths List,reference,true,
general-p003,0 general handouts and skills to turn to app.pdf,3,reference,General Skills,skill-finder,Skills Overview,reference,true,
general-p004,0 general handouts and skills to turn to app.pdf,4,reference,General Skills,skill-finder,Emotional Overload & Emotional Numbness Skills Guide,reference,true,"The general scan cover lists a Feeling Wheel, but this physical page contains a skills-selection guide."
general-p005,0 general handouts and skills to turn to app.pdf,5,reference,General Skills,skill-finder,Skills Use Guideline,reference,true,
general-p006,0 general handouts and skills to turn to app.pdf,6,content-handout,General Skills,skill-finder,Dialectics: Acceptance and Change,handout,true,
goal-setting-p001,1 goal setting and tracking.pdf,1,section-cover,Goal Setting & Tracking,,Goal Setting,structural,false,Cover metadata only.
goal-setting-p002,1 goal setting and tracking.pdf,2,worksheet,Goal Setting & Tracking,goal-guidelines,Case Map,worksheet,true,
goal-setting-p003,1 goal setting and tracking.pdf,3,content-handout,Goal Setting & Tracking,goal-guidelines,Goal Setting Guidelines,handout,true,
goal-setting-p004,1 goal setting and tracking.pdf,4,content-handout,Goal Setting & Tracking,goal-guidelines,SMART Goal Setting,handout,true,
goal-setting-p005,1 goal setting and tracking.pdf,5,worksheet,Goal Setting & Tracking,weekly-goal-worksheets,Daily Goal Worksheet: Monday to Wednesday,worksheet,true,
goal-setting-p006,1 goal setting and tracking.pdf,6,worksheet,Goal Setting & Tracking,weekly-goal-worksheets,Daily Goal Worksheet: Thursday to Sunday,worksheet,true,
goal-setting-p007,1 goal setting and tracking.pdf,7,worksheet,Goal Setting & Tracking,weekly-home-practice,Weekly Home Practice Tracker,worksheet,true,
goal-setting-p008,1 goal setting and tracking.pdf,8,worksheet,Goal Setting & Tracking,weekly-home-practice,Weekly Food Diary,worksheet,true,
goal-setting-p009,1 goal setting and tracking.pdf,9,duplicate,Goal Setting & Tracking,,Weekly Food Diary,duplicate,false,Rotated duplicate of goal-setting-p008.
goal-setting-p010,1 goal setting and tracking.pdf,10,worksheet,Goal Setting & Tracking,weekly-home-practice,Monthly Habit Tracker,worksheet,true,
goal-setting-p011,1 goal setting and tracking.pdf,11,duplicate,Goal Setting & Tracking,,Monthly Habit Tracker,duplicate,false,Duplicate of goal-setting-p010.
goal-setting-p012,1 goal setting and tracking.pdf,12,duplicate,Goal Setting & Tracking,,Daily Goal Worksheet: Monday to Wednesday,duplicate,false,Repeated copy of goal-setting-p005.
goal-setting-p013,1 goal setting and tracking.pdf,13,duplicate,Goal Setting & Tracking,,Daily Goal Worksheet: Thursday to Sunday,duplicate,false,Repeated copy of goal-setting-p006.
goal-setting-p014,1 goal setting and tracking.pdf,14,duplicate,Goal Setting & Tracking,,Weekly Home Practice Tracker,duplicate,false,Repeated copy of goal-setting-p007.
goal-setting-p015,1 goal setting and tracking.pdf,15,duplicate,Goal Setting & Tracking,,Daily Goal Worksheet: Monday to Wednesday,duplicate,false,Repeated copy of goal-setting-p005.
goal-setting-p016,1 goal setting and tracking.pdf,16,duplicate,Goal Setting & Tracking,,Daily Goal Worksheet: Thursday to Sunday,duplicate,false,Repeated copy of goal-setting-p006.
goal-setting-p017,1 goal setting and tracking.pdf,17,duplicate,Goal Setting & Tracking,,Weekly Home Practice Tracker,duplicate,false,Repeated copy of goal-setting-p007.
goal-setting-p018,1 goal setting and tracking.pdf,18,duplicate,Goal Setting & Tracking,,Daily Goal Worksheet: Monday to Wednesday,duplicate,false,Repeated copy of goal-setting-p005.
