source_id,source_document,source_page,resource_title,resource_kind,match_status,confidence,book_pdf_page,book_printed_page,book_module,book_handout_or_worksheet_number,book_title,match_evidence,clean_asset,match_id,match_source,publicly_displayed,review_state,review_needed,notes
general-p002,0 general handouts and skills to turn to app.pdf,2,Skills & Strengths List,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
general-p003,0 general handouts and skills to turn to app.pdf,3,Skills Overview,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
general-p004,0 general handouts and skills to turn to app.pdf,4,Emotional Overload & Emotional Numbness Skills Guide,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
general-p005,0 general handouts and skills to turn to app.pdf,5,Skills Use Guideline,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
general-p006,0 general handouts and skills to turn to app.pdf,6,Dialectics: Acceptance and Change,handout,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p002,1 goal setting and tracking.pdf,2,Case Map,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p003,1 goal setting and tracking.pdf,3,Goal Setting Guidelines,handout,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p004,1 goal setting and tracking.pdf,4,SMART Goal Setting,handout,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p005,1 goal setting and tracking.pdf,5,Daily Goal Worksheet: Monday to Wednesday,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p006,1 goal setting and tracking.pdf,6,Daily Goal Worksheet: Thursday to Sunday,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p007,1 goal setting and tracking.pdf,7,Weekly Home Practice Tracker,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p008,1 goal setting and tracking.pdf,8,Weekly Food Diary,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p010,1 goal setting and tracking.pdf,10,Monthly Habit Tracker,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p033,1 goal setting and tracking.pdf,33,Daily Mood Tracker,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
goal-setting-p034,1 goal setting and tracking.pdf,34,Skills and Wellness Diary Card,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p003,2 Distress Tolerance.pdf,3,How Can I Make a Distress Crisis Worse?,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p004,2 Distress Tolerance.pdf,4,When to Use Crisis Survival Skills,handout,matched,high,350,326,Distress Tolerance,Handout 3,When to Use Crisis Survival Skills,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-3-when-to-use-crisis-survival-skills-clean.pdf,linehan-book:distress-tolerance-p004,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p005,2 Distress Tolerance.pdf,5,Turning the Mind,handout,matched,high,369,345,Distress Tolerance,Handout 12,Turning the Mind,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-12-turning-the-mind-clean.pdf,linehan-book:distress-tolerance-p005,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p006,2 Distress Tolerance.pdf,6,Willingness,handout,matched,high,370,346,Distress Tolerance,Handout 13,Willingness,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-13-willingness-clean.pdf,linehan-book:distress-tolerance-p006,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p007,2 Distress Tolerance.pdf,7,STOP Skill,handout,matched,high,351,327,Distress Tolerance,Handout 4,STOP Skill,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-4-stop-skill-clean.pdf,linehan-book:distress-tolerance-p007,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p008,2 Distress Tolerance.pdf,8,"Turning the Mind, Willingness, and Willfulness",worksheet,matched,high,420,396,Distress Tolerance,Worksheet 10,"Turning the Mind, Willingness, Willfulness",Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-worksheet-10-turning-the-mind-willingness-willfulness-clean.pdf,linehan-book:distress-tolerance-p008,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p009,2 Distress Tolerance.pdf,9,Using the STOP Skill,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p011,2 Distress Tolerance.pdf,11,Window of Tolerance,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
