current_id,current_label,current_rank,classification,synonym_cluster,proposed_canonical,decision,aliases,reason
acceptance,Acceptance,1,chosen-value,,Acceptance,KEEP,,Supports an ongoing direction or quality of living.
authenticity,Authenticity,2,chosen-value,,Authenticity,KEEP,,Supports an ongoing direction or quality of living.
balance,Balance,3,chosen-value,calmness-peace-harmony-balance-stability-moderation,Balance,KEEP,,Supports an ongoing direction or quality of living.
care,Care,4,chosen-value,kindness-care-compassion-empathy-friendliness-benevolence,Care,KEEP,,Supports an ongoing direction or quality of living.
compassion,Compassion,5,chosen-value,kindness-care-compassion-empathy-friendliness-benevolence,Compassion,KEEP,,Supports an ongoing direction or quality of living.
connection,Connection,6,chosen-value,family-friendship-intimacy-connection,Connection,KEEP,,Supports an ongoing direction or quality of living.
courage,Courage,7,chosen-value,courage-bravery-boldness-fortitude,Courage,KEEP,,Supports an ongoing direction or quality of living.
creativity,Creativity,8,chosen-value,,Creativity,KEEP,,Supports an ongoing direction or quality of living.
curiosity,Curiosity,9,chosen-value,learning-knowledge-curiosity-exploration-insight-wisdom-growth-improvement-mastery,Curiosity,KEEP,,Supports an ongoing direction or quality of living.
growth,Growth,10,chosen-value,learning-knowledge-curiosity-exploration-insight-wisdom-growth-improvement-mastery,Growth,KEEP,,Supports an ongoing direction or quality of living.
health,Health,11,life-domain,,,MOVE_TO_DOMAIN,,"Duplicates the existing Health, Self-Care & Vitality life-domain taxonomy."
honesty,Honesty,12,chosen-value,honesty-candor-integrity-ethics,Honesty,KEEP,,Supports an ongoing direction or quality of living.
kindness,Kindness,13,chosen-value,kindness-care-compassion-empathy-friendliness-benevolence,Kindness,KEEP,,Supports an ongoing direction or quality of living.
love,Love,14,chosen-value,,Love,KEEP,,Supports an ongoing direction or quality of living.
purpose,Purpose,15,chosen-value,,Purpose,KEEP,,Supports an ongoing direction or quality of living.
responsibility,Responsibility,16,chosen-value,responsibility-accountability,Responsibility,KEEP,,Supports an ongoing direction or quality of living.
achievement,Achievement,17,chosen-value,achievement-excellence-competence-mastery-effectiveness,Achievement,KEEP,,Supports an ongoing direction or quality of living.
adventure,Adventure,18,chosen-value,,Adventure,KEEP,,Supports an ongoing direction or quality of living.
autonomy,Autonomy,19,chosen-value,autonomy-independence-freedom-individuality,Autonomy,KEEP,,Supports an ongoing direction or quality of living.
commitment,Commitment,20,chosen-value,commitment-dedication-persistence-determination,Commitment,KEEP,,Supports an ongoing direction or quality of living.
community,Community,21,life-domain,,,MOVE_TO_DOMAIN,,"Duplicates the existing Community, Service & Environment life-domain taxonomy."
contribution,Contribution,22,chosen-value,community-contribution-service-giving-charity-advocacy,Contribution,KEEP,,Supports an ongoing direction or quality of living.
family,Family,23,life-domain,,,MOVE_TO_DOMAIN,,"Duplicates the existing Close Relationships, Family & Caregiving life-domain taxonomy."
freedom,Freedom,24,chosen-value,autonomy-independence-freedom-individuality,Freedom,KEEP,,Supports an ongoing direction or quality of living.
friendship,Friendship,25,life-domain,,,MOVE_TO_DOMAIN,,Duplicates the existing Friendship & Social Connection life-domain taxonomy.
gratitude,Gratitude,26,chosen-value,,Gratitude,KEEP,,Supports an ongoing direction or quality of living.
integrity,Integrity,27,chosen-value,honesty-candor-integrity-ethics,Integrity,KEEP,,Supports an ongoing direction or quality of living.
joy,Joy,28,chosen-value,joy-enjoyment-fun-playfulness-cheerfulness-recreation,Joy,KEEP,,Supports an ongoing direction or quality of living.
learning,Learning,29,chosen-value,learning-knowledge-curiosity-exploration-insight-wisdom-growth-improvement-mastery,Learning,KEEP,,Supports an ongoing direction or quality of living.
mindfulness,Mindfulness,30,chosen-value,mindfulness-presence-awareness-attentiveness-self-awareness-reflectiveness,Mindfulness,KEEP,,Supports an ongoing direction or quality of living.
respect,Respect,31,chosen-value,,Respect,KEEP,,Supports an ongoing direction or quality of living.
trust,Trust,32,chosen-value,,Trust,KEEP,,Supports an ongoing direction or quality of living.
accountability,Accountability,33,chosen-value,responsibility-accountability,Accountability,KEEP,,Supports an ongoing direction or quality of living.
awareness,Awareness,34,chosen-value,mindfulness-presence-awareness-attentiveness-self-awareness-reflectiveness,Awareness,KEEP,,Supports an ongoing direction or quality of living.
collaboration,Collaboration,35,chosen-value,,Collaboration,KEEP,,Supports an ongoing direction or quality of living.
communication,Communication,36,chosen-value,,Communication,KEEP,,Supports an ongoing direction or quality of living.
competence,Competence,37,chosen-value,achievement-excellence-competence-mastery-effectiveness,Competence,KEEP,,Supports an ongoing direction or quality of living.
discipline,Discipline,38,chosen-value,,Discipline,KEEP,,Supports an ongoing direction or quality of living.
empathy,Empathy,39,chosen-value,kindness-care-compassion-empathy-friendliness-benevolence,Empathy,KEEP,,Supports an ongoing direction or quality of living.
fairness,Fairness,40,chosen-value,fairness-equality-justice,Fairness,KEEP,,Supports an ongoing direction or quality of living.
flexibility,Flexibility,41,duplicate-near-duplicate,adaptability-flexibility,Adaptability,MERGE_ALIAS,Flexibility,Most users would treat this label as the same practical compass direction in this tool.
forgiveness,Forgiveness,42,chosen-value,,Forgiveness,KEEP,,Supports an ongoing direction or quality of living.
generosity,Generosity,43,chosen-value,generosity-giving-charity-benevolence,Generosity,KEEP,,Supports an ongoing direction or quality of living.
hope,Hope,44,chosen-value,,Hope,KEEP,,Supports an ongoing direction or quality of living.
humor,Humor,45,chosen-value,,Humor,KEEP,,Supports an ongoing direction or quality of living.
independence,Independence,46,chosen-value,autonomy-independence-freedom-individuality,Independence,KEEP,,Supports an ongoing direction or quality of living.
justice,Justice,47,chosen-value,fairness-equality-justice,Justice,KEEP,,Supports an ongoing direction or quality of living.
loyalty,Loyalty,48,chosen-value,,Loyalty,KEEP,,Supports an ongoing direction or quality of living.
mastery,Mastery,49,chosen-value,learning-knowledge-curiosity-exploration-insight-wisdom-growth-improvement-mastery,Mastery,KEEP,,Supports an ongoing direction or quality of living.
meaning,Meaning,50,chosen-value,,Meaning,KEEP,,Supports an ongoing direction or quality of living.
open-mindedness,Open-Mindedness,51,chosen-value,openness-open-mindedness,Open-Mindedness,KEEP,,Supports an ongoing direction or quality of living.
patience,Patience,52,chosen-value,,Patience,KEEP,,Supports an ongoing direction or quality of living.
peace,Peace,53,chosen-value,calmness-peace-harmony-balance-stability-moderation,Peace,KEEP,,Supports an ongoing direction or quality of living.
persistence,Persistence,54,chosen-value,commitment-dedication-persistence-determination,Persistence,KEEP,,Supports an ongoing direction or quality of living.
playfulness,Playfulness,55,chosen-value,joy-enjoyment-fun-playfulness-cheerfulness-recreation,Playfulness,KEEP,,Supports an ongoing direction or quality of living.
reliability,Reliability,56,chosen-value,reliability-dependability-consistency,Reliability,KEEP,,Supports an ongoing direction or quality of living.
resilience,Resilience,57,chosen-value,,Resilience,KEEP,,Supports an ongoing direction or quality of living.
safety,Safety,58,need-condition-outcome,,,REVIEW,,May be a desired condition or outcome; retain canonically until editorial review.
self-awareness,Self-Awareness,59,chosen-value,mindfulness-presence-awareness-attentiveness-self-awareness-reflectiveness,Self-Awareness,KEEP,,Supports an ongoing direction or quality of living.
self-care,Self-Care,60,behavior-process,health-fitness-self-care-energy,,REVIEW,,A process label that may still work as a chosen direction; retain for review.
service,Service,61,chosen-value,community-contribution-service-giving-charity-advocacy,Service,KEEP,,Supports an ongoing direction or quality of living.
spirituality,Spirituality,62,life-domain,,,MOVE_TO_DOMAIN,,"Duplicates the existing Spirituality, Meaning & Inner Life life-domain taxonomy."
stability,Stability,63,need-condition-outcome,,,REVIEW,,May be a desired condition or outcome; retain canonically until editorial review.
wisdom,Wisdom,64,chosen-value,learning-knowledge-curiosity-exploration-insight-wisdom-growth-improvement-mastery,Wisdom,KEEP,,Supports an ongoing direction or quality of living.
adaptability,Adaptability,65,chosen-value,adaptability-flexibility,Adaptability,KEEP,,Supports an ongoing direction or quality of living.
advocacy,Advocacy,66,chosen-value,community-contribution-service-giving-charity-advocacy,Advocacy,KEEP,,Supports an ongoing direction or quality of living.
appreciation,Appreciation,67,chosen-value,,Appreciation,KEEP,,Supports an ongoing direction or quality of living.
assertiveness,Assertiveness,68,chosen-value,,Assertiveness,KEEP,,Supports an ongoing direction or quality of living.
attentiveness,Attentiveness,69,chosen-value,mindfulness-presence-awareness-attentiveness-self-awareness-reflectiveness,Attentiveness,KEEP,,Supports an ongoing direction or quality of living.
beauty,Beauty,70,chosen-value,,Beauty,KEEP,,Supports an ongoing direction or quality of living.
benevolence,Benevolence,71,chosen-value,generosity-giving-charity-benevolence,Benevolence,KEEP,,Supports an ongoing direction or quality of living.
boldness,Boldness,72,chosen-value,courage-bravery-boldness-fortitude,Boldness,KEEP,,Supports an ongoing direction or quality of living.
bravery,Bravery,73,duplicate-near-duplicate,courage-bravery-boldness-fortitude,Courage,MERGE_ALIAS,Bravery,Most users would treat this label as the same practical compass direction in this tool.
calmness,Calmness,74,chosen-value,calmness-peace-harmony-balance-stability-moderation,Calmness,KEEP,,Supports an ongoing direction or quality of living.
candor,Candor,75,duplicate-near-duplicate,honesty-candor-integrity-ethics,Honesty,MERGE_ALIAS,Candor,Most users would treat this label as the same practical compass direction in this tool.
challenge,Challenge,76,chosen-value,,Challenge,KEEP,,Supports an ongoing direction or quality of living.
charity,Charity,77,chosen-value,generosity-giving-charity-benevolence,Charity,KEEP,,Supports an ongoing direction or quality of living.
cheerfulness,Cheerfulness,78,chosen-value,joy-enjoyment-fun-playfulness-cheerfulness-recreation,Cheerfulness,KEEP,,Supports an ongoing direction or quality of living.
clarity,Clarity,79,chosen-value,,Clarity,KEEP,,Supports an ongoing direction or quality of living.
cleanliness,Cleanliness,80,preference-standard,,,REVIEW,,May function as a preference or standard; retain for review rather than remove automatically.
common-sense,Common Sense,81,chosen-value,,Common Sense,KEEP,,Supports an ongoing direction or quality of living.
consistency,Consistency,82,chosen-value,reliability-dependability-consistency,Consistency,KEEP,,Supports an ongoing direction or quality of living.
contentment,Contentment,83,need-condition-outcome,,,REVIEW,,May be a desired condition or outcome; retain canonically until editorial review.
cooperation,Cooperation,84,chosen-value,,Cooperation,KEEP,,Supports an ongoing direction or quality of living.
courtesy,Courtesy,85,chosen-value,,Courtesy,KEEP,,Supports an ongoing direction or quality of living.
decisiveness,Decisiveness,86,chosen-value,,Decisiveness,KEEP,,Supports an ongoing direction or quality of living.
dedication,Dedication,87,chosen-value,commitment-dedication-persistence-determination,Dedication,KEEP,,Supports an ongoing direction or quality of living.
